,情報処理サービス業界,
1,野村総合研究所,1140
2,SRAホールディングス,1131
3,JBCCホールディングス,903
4,日本ユニシス,822
5,ITホールディングス,818
6,ODKソリューションズ,797
7,新日鉄ソリューションズ,793
8,NTTデータ,789
9,シンプレクス・テクノロジー,759
10,インフォコム,733
11,エックスネット,724
12,大塚商会,722
13,東洋ビジネスエンジニアリング,721
14,パナソニック電工インフォメーション,720
15,セゾン情報システムズ,715
16,住商情報システム,711
17,テクマトリックス,710
18,電通国際情報サービス,710
19,伊藤忠テクノソリューションズ,703
20,CSKホールディングス,678
21,バンクテック・ジャパン,671
22,サイオステクノロジー,666
23,ウルシステムズ,663
24,NECフィールディング,658
25,三井情報,655
26,共同コンピュータHD,654
27,JFEシステムズ,637
28,フューチャーアーキテクト,632
29,構造計画研究所,625
30,アイネス,624
